ano,mes,sigla_uf,ddd,tecnologia,sinal,acessos
2009,2,SP,13,WCDMA,3G,10684
2009,2,SP,14,CDMA IS 95,2G,310674
2009,2,SP,14,CDMA2000,2G,4616
2009,2,SP,14,Dados > 256kbps,3G,5327
2009,2,SP,14,Dados até 256kbps,2G,15179
2009,2,SP,14,GSM,2G,1438250
2009,2,SP,14,WCDMA,3G,12763
2009,2,SP,15,CDMA IS 95,2G,249094
2009,2,SP,15,CDMA2000,2G,3033
2009,2,SP,15,Dados > 256kbps,3G,4843
2009,2,SP,15,Dados até 256kbps,2G,9060
2009,2,SP,15,GSM,2G,1128393
2009,2,SP,15,WCDMA,3G,11500
2009,2,SP,16,AMPS,1G,49
2009,2,SP,16,CDMA IS 95,2G,172842
2009,2,SP,16,CDMA2000,2G,2710
2009,2,SP,16,Dados > 256kbps,3G,4951
2009,2,SP,16,Dados até 256kbps,2G,18917
2009,2,SP,16,GSM,2G,2175358
2009,2,SP,16,TDMA,2G,1831
2009,2,SP,16,WCDMA,3G,22118
2009,2,SP,17,AMPS,1G,3
2009,2,SP,17,CDMA IS 95,2G,199070
2009,2,SP,17,CDMA2000,2G,3348
2009,2,SP,17,Dados > 256kbps,3G,8870
2009,2,SP,17,Dados até 256kbps,2G,15877
2009,2,SP,17,GSM,2G,1323805
2009,2,SP,17,TDMA,2G,162
2009,2,SP,17,WCDMA,3G,11228
2009,2,SP,18,CDMA IS 95,2G,217303
2009,2,SP,18,CDMA2000,2G,3548
2009,2,SP,18,Dados > 256kbps,3G,3349
2009,2,SP,18,Dados até 256kbps,2G,7365
2009,2,SP,18,GSM,2G,1133855
2009,2,SP,18,WCDMA,3G,8075
2009,2,SP,19,CDMA IS 95,2G,505278
2009,2,SP,19,CDMA2000,2G,8725
2009,2,SP,19,Dados > 256kbps,3G,19049
2009,2,SP,19,Dados até 256kbps,2G,111370
2009,2,SP,19,GSM,2G,3767153
2009,2,SP,19,WCDMA,3G,46456
2009,2,TO,63,CDMA IS 95,2G,55140
2009,2,TO,63,CDMA2000,2G,1177
2009,2,TO,63,Dados > 256kbps,3G,1852
2009,2,TO,63,Dados até 256kbps,2G,10434
2009,2,TO,63,GSM,2G,780884
2009,2,TO,63,WCDMA,3G,9113
2009,3,AC,68,CDMA IS 95,2G,42906
2009,3,AC,68,CDMA2000,2G,506
2009,3,AC,68,Dados > 256kbps,3G,6960
2009,3,AC,68,Dados até 256kbps,2G,1320
2009,3,AC,68,GSM,2G,414201
2009,3,AC,68,WCDMA,3G,8213
2009,3,AL,82,AMPS,1G,79
2009,3,AL,82,Dados > 256kbps,3G,12915
2009,3,AL,82,Dados até 256kbps,2G,8363
2009,3,AL,82,GSM,2G,2002932
2009,3,AL,82,TDMA,2G,15204
2009,3,AL,82,WCDMA,3G,4946
2009,3,AM,92,CDMA IS 95,2G,151702
2009,3,AM,92,CDMA2000,2G,1801
2009,3,AM,92,Dados > 256kbps,3G,14701
2009,3,AM,92,Dados até 256kbps,2G,12577
2009,3,AM,92,GSM,2G,1931895
2009,3,AM,92,WCDMA,3G,17642
2009,3,AM,97,CDMA IS 95,2G,2366
2009,3,AM,97,CDMA2000,2G,14
2009,3,AM,97,Dados > 256kbps,3G,48
2009,3,AM,97,Dados até 256kbps,2G,55
2009,3,AM,97,GSM,2G,84806
2009,3,AM,97,WCDMA,3G,155
2009,3,AP,96,CDMA IS 95,2G,29645
2009,3,AP,96,CDMA2000,2G,368
2009,3,AP,96,Dados > 256kbps,3G,2334
2009,3,AP,96,Dados até 256kbps,2G,3047
2009,3,AP,96,GSM,2G,401252
2009,3,AP,96,WCDMA,3G,2781
2009,3,BA,71,CDMA IS 95,2G,199049
2009,3,BA,71,CDMA2000,2G,6273
2009,3,BA,71,Dados > 256kbps,3G,41343
2009,3,BA,71,Dados até 256kbps,2G,53103
2009,3,BA,71,GSM,2G,3951335
2009,3,BA,71,TDMA,2G,6950
2009,3,BA,71,WCDMA,3G,25562
2009,3,BA,73,CDMA IS 95,2G,111062
2009,3,BA,73,CDMA2000,2G,1306
2009,3,BA,73,Dados > 256kbps,3G,7214
2009,3,BA,73,Dados até 256kbps,2G,3070
2009,3,BA,73,GSM,2G,1184471
2009,3,BA,73,TDMA,2G,1491
2009,3,BA,73,WCDMA,3G,3412
2009,3,BA,74,CDMA IS 95,2G,54010
2009,3,BA,74,CDMA2000,2G,549
